Id,Name,Account_vod__c,Account_Type,Account_Specialty,Territory_vod__c,Country,Call_Date_vod__c,Call_Datetime_vod__c,Call_Type_vod__c,Call_Channel_vod__c,Status_vod__c,Detailed_Products_vod__c,Product_Priority,Sample_Dropped,Sample_Product_vod__c,Sample_Quantity_vod__c,Sample_Lot,Signature_Captured,Media_Shown,CLM_Key_Message_Count,Key_Message_Reaction,Next_Call_Notes_vod__c,Attendee_Count,Call_Duration_Minutes,Ownerid,Is_Parent_Call_vod__c,Unlock_vod__c,Mobile_Created_Datetime_vod__c,Created_By_Platform
a0B000000000000001,CALL-000001,001000000000000172,Clinic,Internal Medicine,NE-01,US,2026-07-16,2026-07-16T13:51:00.000Z,Detail Only,Face_to_Face_vod,Submitted_vod,Neurovia,Secondary,Yes,Neurovia 10mg Sample,2,LOT-2025-11,No,None,0,,Follow up on sample feedback,1,31,005000000000000023,true,false,2026-07-16T13:51:00.000Z,iPad
a0B000000000000002,CALL-000002,001000000000000153,Hospital,Oncology,EU-UK-01,GB,2026-07-13,2026-07-13T08:01:00.000Z,Detail Only,Face_to_Face_vod,Submitted_vod,Dermiq,Tertiary,No,,,,No,None,0,,Schedule next detail,1,29,005000000000000024,true,false,2026-07-13T08:01:00.000Z,Browser
a0B000000000000003,CALL-000003,001000000000000049,HCP,Neurology,EU-ES-01,ES,2026-08-09,2026-08-09T13:48:00.000Z,Sample Only,Face_to_Face_vod,Submitted_vod,Dermiq,Secondary,Yes,Dermiq 10mg Sample,1,LOT-2025-06,Yes,None,0,,Follow up on sample feedback,1,24,005000000000000014,true,false,2026-08-09T13:48:00.000Z,iPad
a0B000000000000004,CALL-000004,001000000000000022,HCP,Cardiology,APAC-AU-01,AU,2026-08-23,2026-08-23T15:25:00.000Z,Remote Detail,Video_vod,Submitted_vod,Dermiq,Secondary,No,,,,No,Dermiq Launch Deck,6,Positive,Revisit key messages,1,35,005000000000000010,true,false,2026-08-23T15:25:00.000Z,iPad
a0B000000000000005,CALL-000005,001000000000000118,Clinic,Oncology,EU-ES-01,ES,2026-08-15,2026-08-15T11:09:00.000Z,Sample Only,Face_to_Face_vod,Submitted_vod,Neurovia,Primary,Yes,Neurovia 10mg Sample,3,LOT-2026-10,No,None,0,,Follow up on sample feedback,1,14,005000000000000030,true,false,2026-08-15T11:09:00.000Z,iPad
a0B000000000000006,CALL-000006,001000000000000003,HCP,Oncology,SE-01,US,2026-08-22,2026-08-22T09:18:00.000Z,Detail with Sample,Face_to_Face_vod,Submitted_vod,Dermiq,Tertiary,Yes,Dermiq 10mg Sample,4,LOT-2025-05,Yes,None,0,,Follow up on sample feedback,1,29,005000000000000019,true,false,2026-08-22T09:18:00.000Z,iPad
a0B000000000000007,CALL-000007,001000000000000046,HCP,Dermatology,EU-UK-01,GB,2026-08-22,2026-08-22T16:34:00.000Z,Detail Only,Face_to_Face_vod,Submitted_vod,Pulmora,Secondary,No,,,,No,Pulmora Patient Case,6,Positive,Revisit key messages,1,43,005000000000000039,true,false,2026-08-22T16:34:00.000Z,iPad
a0B000000000000008,CALL-000008,001000000000000176,HCP,Pulmonology,EU-ES-01,ES,2026-06-06,2026-06-06T11:27:00.000Z,Email,Email_vod,Saved_vod,Neurovia,Secondary,No,,,,No,None,0,,Schedule next detail,1,0,005000000000000013,true,true,2026-06-06T11:27:00.000Z,Browser
a0B000000000000009,CALL-000009,001000000000000112,Hospital,Cardiology,EU-IT-01,IT,2026-08-21,2026-08-21T14:32:00.000Z,Sample Only,Face_to_Face_vod,Submitted_vod,Neurovia,Tertiary,Yes,Neurovia 10mg Sample,3,LOT-2025-11,No,None,0,,Follow up on sample feedback,1,45,005000000000000022,true,false,2026-08-21T14:32:00.000Z,iPhone
a0B000000000000010,CALL-000010,001000000000000047,HCP,Dermatology,NE-02,US,2026-06-04,2026-06-04T11:35:00.000Z,Sample Only,Face_to_Face_vod,Submitted_vod,Cardiozen,Tertiary,Yes,Cardiozen 10mg Sample,2,LOT-2025-07,Yes,None,0,,Follow up on sample feedback,1,12,005000000000000018,true,false,2026-06-04T11:35:00.000Z,iPad
a0B000000000000011,CALL-000011,001000000000000135,HCP,Neurology,EU-IT-01,IT,2026-08-22,2026-08-22T15:33:00.000Z,Email,Email_vod,Submitted_vod,Neurovia,Tertiary,No,,,,No,None,0,,Schedule next detail,1,0,005000000000000006,true,false,2026-08-22T15:33:00.000Z,Windows
a0B000000000000012,CALL-000012,001000000000000136,Hospital,Neurology,MW-02,US,2026-06-27,2026-06-27T14:25:00.000Z,Detail Only,Face_to_Face_vod,Submitted_vod,Pulmora,Tertiary,No,,,,No,None,0,,Schedule next detail,1,22,005000000000000033,true,false,2026-06-27T14:25:00.000Z,iPad
a0B000000000000013,CALL-000013,001000000000000150,HCP,Oncology,APAC-JP-01,JP,2026-08-03,2026-08-03T08:26:00.000Z,Email,Email_vod,Saved_vod,Cardiozen,Secondary,No,,,,No,None,0,,Schedule next detail,1,0,005000000000000039,true,true,2026-08-03T08:26:00.000Z,iPad
