"# GDPR Article 30 — Lastest Data Processing Matrix (Tevékenységi mátrix)"
"# Generated 2026-05-14. Each row = one data subject. Columns = activity. X = activity occurs; cell text = where/how."
"#"
"# READS (Olvassa) | STORES (Tárolja) | TRANSFORMS (Transzformálja) | GENERATES (Generálja) | TRANSFERS (Áthelyezi) | DELETES (Törli)"
"#"
Data Subject,Source,Reads (Olvassa),Stores (Tárolja),Transforms (Transzformálja),Generates derivatives (Generálja),Transfers / moves (Áthelyezi),Deletes (Törli),Sensitivity
User email,User signup / OAuth (GitHub/GitLab/Google),X (signup form / OAuth callback),"X — users.email (PG)",X — lowercased / trimmed for uniqueness,X — gravatar avatar URL,"X — Resend (transactional email), OAuth providers, in PR comments as commit author, self-hosted CRM (on user.create / auto-register)",Cascade on user/team delete,PII HIGH
User password (plaintext at entry),User signup / login form,X (form post over HTTPS),Never (only hash stored),X — Argon2 hash via @node-rs/argon2,X — hashed_password column,None,Hash deleted on user delete,SECRET CRITICAL
User password hash,Generated from password,X (login verify),"X — users.hashed_password (PG)",None,None,None,Cascade on user delete,SECRET CRITICAL
User profile (name / avatar URL),OAuth provider or manual,X (OAuth profile sync),"X — users.name / avatar_url",X — extracted from OAuth profile,X — displayed in UI,"X — visible to teammates in same team; name split firstName+lastName → self-hosted CRM People record",Cascade on user delete,PII MEDIUM
IP address & user-agent,HTTP request headers,X (every request),"X — sessions.ip_address / user_agent (PG)",None,None,None,Expires with session,PII MEDIUM
Session token (auth cookie),Generated on login,X (cookie on every request),"X — sessions.token (PG, unique) + HttpOnly cookie",X — random + indexed,X — bound to user+device,None (server-side only),Auto-expire / logout,SECRET CRITICAL
Email verification token,Generated on signup,X (link click),"X — verification table (better-auth)",X — random UUID,X — token in verification email,X — emailed via Resend,Single-use; expires 1h,AUTH CRITICAL
Password reset token,Generated on reset request,X (link click),"X — verification table",X — random UUID,X — token in reset email,X — emailed via Resend,Single-use; expires 1h,AUTH CRITICAL
API / personal access token (MCP / VSCode / CLI),Generated via Settings,X (Bearer header verify),"X — sessions (kind='api')",X — random; lastUsedAt tracked,None,X — copied to user's machine (~/.env / IDE settings),User revoke or expiry,SECRET CRITICAL
GitHub OAuth access + refresh token,GitHub OAuth flow,X (when calling GitHub API),"X — githubAccounts.accessToken / refreshToken (PG, plaintext)",None,None,X — sent to api.github.com (PR comments / workflows / secrets / webhooks),User disconnect or team delete,SECRET CRITICAL
GitLab OAuth access + refresh token,GitLab OAuth flow,X,"X — gitlabAccounts.accessToken / refreshToken (PG)",None,None,X — sent to gitlab.com or self-hosted GitLab,User disconnect or team delete,SECRET CRITICAL
Google OAuth tokens (Sheets scope),Google OAuth flow,X,"X — googleSheetsAccounts.access/refreshToken (PG)",None,None,X — sent to sheets.googleapis.com,Disconnect or data source delete,SECRET CRITICAL
Team invitation (email + token),Owner invites user,X (acceptance flow),"X — userInvitations.token / email (PG)",X — random token,X — invitation email,X — Resend,Accept / expire after 7d,AUTH MEDIUM
User consent record (ToS / Privacy / marketing),Consent checkboxes,X (verify granted),"X — userConsents (PG, with IP + UA + version)",None,X — version label,None,Never deleted (legal); revokedAt set,LEGAL CRITICAL
Team plan / quota / usage counters,Team admin actions,X (capability checks),"X — teams.plan / monthlyRunQuota / runsThisMonth / storage*",X — periodic recalculation,X — billing usage events,None,Cascade on team delete,OPERATIONAL LOW
Repository URL (user's website / app under test),User-provided when adding repo,X (test execution opens it),"X — repositories.fullName / url (PG)",X — normalized / branch resolved,X — used as baseUrl in every test,"X — opened in EB / runner browser; in PR comments; in Slack/Discord notifs",Cascade on repo delete,USER-CONTENT HIGH
Repository description / about,User-typed (or GitHub-synced),X,"X — repositories.description (PG)",X — passed to AI as context,X — AI-generated test specs,X — sent to AI providers,Cascade on repo delete,USER-CONTENT HIGH
GitHub/GitLab repo metadata,GitHub/GitLab API,X,"X — repositories (name / defaultBranch / providerId)",None,None,X — embedded in PR/MR comments + Slack,Cascade on repo delete,OPERATIONAL MEDIUM
GitHub/GitLab webhook secret,Generated by Lastest,X (HMAC verify on inbound),"X — githubActionConfigs/gitlabPipelineConfigs.webhookSecret (PG, plaintext)",X — random 32 hex,None,X — installed on GitHub/GitLab,Delete on CI config removal,SECRET CRITICAL
Generated CI workflow YAML (.github/workflows/lastest.yml),Generated by Lastest,X (preview),"X — githubActionConfigs.workflowYaml (PG)",X — templated from config,X — file content,X — pushed to user's repo via GitHub API,Delete on CI config removal,CONFIG MEDIUM
PR / MR metadata (number / branches / author / commit),GitHub/GitLab API,X (build attribution),"X — pullRequests (PG)",None,X — denormalized into builds,X — embedded in PR comment + Slack,Cascade with build,OPERATIONAL LOW
Git commit SHA & branch name,Runner / CI / git history,X,"X — testRuns.gitCommit / gitBranch + builds",None,None,X — in PR comments / notifs / share links,Cascade with build,OPERATIONAL LOW
PR / MR comment (build summary),Generated by Lastest,X (read back via API to dedupe),Not stored after post,X — markdown template,X — comment body + screenshot links,X — posted to GitHub/GitLab PR (visible to all reviewers),Edit / delete via API,BUILD-RESULTS MEDIUM
Test description / user prompt (natural language),User writes in UI,X,"X — testSpecs.description / userPrompt (PG)",X — passed to AI as user message,X — AI-generated test code,X — sent to AI providers (OpenRouter / Anthropic / OpenAI / Ollama / Claude Agent SDK),Cascade on test delete,USER-CONTENT HIGH
