# Lastest — Sub-processors (Adatfeldolgozók) — GDPR Art. 28 / 30,,,,,,
"# Generated 2026-05-14, updated 2026-05-15. Only third-party processors triggered by user action are listed; some are optional (configured per team).",,,,,,
"# NOTE: 'Olares' and 'Zima' are NOT separate processors — they are operator-owned homeserver nicknames (the physical hosts running the Lastest app). They are listed in a separate Hosting Infrastructure section at the bottom for completeness, not as sub-processors.",,,,,,
Sub-processor,Purpose (Cél),Data categories transferred (Átadott adatkategóriák),Transport,Region / Hosting,Trigger / Required?,Notes
Resend,Transactional email (verification / reset / invite / build summary),"Email address, name, repo name, branch, build status",HTTPS REST API,US (Resend cloud),Required for email auth flows,Standard DPA available at resend.com/terms
GitHub (api.github.com),Repo access / PR comments / workflows / secrets / webhooks,"OAuth access+refresh token, repo metadata, PR metadata, commit SHA, branch, screenshot diff URLs, test summary",HTTPS REST API,US (GitHub cloud),Optional (per-repo integration),GitHub Privacy Policy + Terms; major processor
GitLab (gitlab.com or self-hosted),MR comments / pipelines / webhooks,Same as GitHub for GitLab-hosted repos,HTTPS REST API,EU (gitlab.com) or customer infra,Optional,Self-hosted = on-premises (no external transfer)
Google (Sheets API + OAuth),Sign-in + Sheets test data,"OAuth tokens, Google user id, email, name, spreadsheet cell data",HTTPS REST API,US (Google cloud),Optional,Google API ToS + Google Workspace DPA (if enterprise)
OpenRouter,AI test generation / fix / diff analysis,"Full test code, user prompts, codebase snippets, screenshots (base64), console errors, network log summaries, DOM snapshots",HTTPS JSON,US (OpenRouter cloud),Optional (when chosen as AI provider),Reseller routing to Anthropic/OpenAI/etc.; review their privacy policy + retention
Anthropic (api.anthropic.com),AI generation / fixing,Same as OpenRouter,HTTPS JSON,US,Optional,Anthropic Service Terms + zero-retention available for enterprise
OpenAI (api.openai.com),AI generation,Same as OpenRouter,HTTPS JSON,US,Optional,OpenAI API Terms; default 30-day retention unless ZDR
Ollama,Local LLM inference,Same as above but stays on-prem,HTTP (localhost / internal),On-premises (operator infra),Optional,No external transfer
Claude Agent SDK / Claude CLI subprocess,AI agent orchestration (Planner / Generator / Healer),"Codebase, test code, build context, MCP tool calls, screenshots",Local subprocess (unless using remote API),Local → optionally Anthropic,Optional,Same downstream provider risk as Anthropic
Slack (user's workspace),Build result notifications,"Repo name, branch, status, counts, build URL",HTTPS POST,User's Slack workspace,Optional,Webhook URL is a secret
Discord (user's server),Build result notifications,Same as Slack,HTTPS POST,User's Discord server,Optional,
Custom webhooks,User-defined integrations,Arbitrary build-result JSON + user-defined headers,HTTPS POST,User-specified,Optional,User is responsible for endpoint security
Usage analytics service,Privacy-first product usage analytics,"Event names, hashed user id, page URL, browser/OS",HTTPS,Self-hosted by operator (or vendor cloud if configured),Optional (server-config),Generic usage tracking app; no PII by default. Vendor name intentionally not disclosed here.
CRM (self-hosted),Sync user identity to CRM People record,"firstName, lastName, primaryEmail, companyId (constant)",HTTPS POST /rest/people with Bearer,Self-hosted by operator (typically on same/adjacent infra as the app),Triggered fire-and-forget on better-auth user.create + /api/embedded/auto-register,Self-hosted CRM application configured via operator env vars. Not a third party when operator self-hosts on own infra — treat as operator-internal processing.
"# --- HOSTING INFRASTRUCTURE (operator-owned, NOT third-party sub-processors) ---",,,,,,
EU server,Production app host for app.lastest.cloud — runs Next.js app pods + EB jobs,All categories from the data-processing matrix at rest + in memory,Internal cluster networking,EU,Always (primary prod host),"Server nickname, not an external service. Physical security, disk encryption, network perimeter are the operator's responsibility."
